Timestamp,Symbol,Open,High,Low,Close,Volume
2026-03-09 13:30:00,GOOGL,294.35999,295.63000,294.10001,295.52390,1470815
2026-03-09 13:31:00,GOOGL,295.58499,295.69000,294.54001,295.20001,123840
2026-03-09 13:32:00,GOOGL,295.39001,295.88000,295.079987,295.64001,101958
2026-03-09 13:33:00,GOOGL,295.57001,295.81000,294.97000,295.60999,83183
2026-03-09 13:34:00,GOOGL,295.54999,296.39999,295.54999,296.39999,116225
2026-03-09 13:35:00,GOOGL,296.41000,296.79999,294.23999,296.42999,147842
2026-03-09 13:36:00,GOOGL,296.35001,296.48499,295.66000,295.67001,120448
2026-03-09 13:37:00,GOOGL,295.73499,295.89001,295.43011,295.64499,131155
2026-03-09 13:38:00,GOOGL,295.63000,296.079987,295.44000,295.77499,178896
2026-03-09 13:39:00,GOOGL,295.73999,296.39001,295.51999,296.14001,128982
2026-03-09 13:40:00,GOOGL,296.15579,296.35001,295.79999,295.89001,124017
2026-03-09 13:41:00,GOOGL,295.90500,296.31000,295.60999,295.63000,90473
2026-03-09 13:42:00,GOOGL,295.60001,295.69000,295.070007,295.28500,127034
2026-03-09 13:43:00,GOOGL,295.31000,295.87000,295.079987,295.67999,112927
2026-03-09 13:44:00,GOOGL,295.64999,295.82999,295.16000,295.64001,83993
2026-03-09 13:45:00,GOOGL,295.63501,296.019989,295.39999,295.39999,80039
2026-03-09 13:46:00,GOOGL,295.54001,296.45001,295.48999,296.14999,84943
2026-03-09 13:47:00,GOOGL,296.20001,296.20001,295.51001,296.10001,58317
2026-03-09 13:48:00,GOOGL,296.10999,296.35999,296,296.12000,99770
2026-03-09 13:49:00,GOOGL,296.13501,296.31000,295.23999,295.26999,71528
2026-03-09 13:50:00,GOOGL,295.32001,296.070007,295.26999,295.625,72151
2026-03-09 13:51:00,GOOGL,295.64999,296.10001,295.54950,295.54950,58079
2026-03-09 13:52:00,GOOGL,295.60999,295.62000,294.76001,294.95001,146238
2026-03-09 13:53:00,GOOGL,294.95001,295.29999,294.82001,295.10001,87672
2026-03-09 13:54:00,GOOGL,295.20001,295.45999,295.049988,295.059998,77876
2026-03-09 13:55:00,GOOGL,295.029999,295.82001,294.75,295.67001,96605
2026-03-09 13:56:00,GOOGL,295.75,296.10010,295.65500,295.76001,115632
2026-03-09 13:57:00,GOOGL,295.76001,296.10999,295.42001,295.85999,78630
2026-03-09 13:58:00,GOOGL,295.85999,296.079987,295.10001,295.16000,97032
2026-03-09 13:59:00,GOOGL,295.17001,295.48001,295.089996,295.28000,104988
