accuracy_pct,99.81975933532803
avg_dollar_error,0.4776872442376597
bias,0,-0.006601837726530591
bias,1,-0.005797414081628429
bias,2,-0.0052702088115089895
bias,3,-0.004915869806072134
bias,4,-0.004612851327548466
bias,5,-0.0043902398319952355
bias,6,-0.004215102398485917
bias,7,-0.0040253179250129365
bias,8,-0.0038435291811058083
bias,9,-0.0037291809223548426
w,0,0,0.0002357409559681446
w,0,1,0.0002206033829524459
w,0,2,0.00023888183067181327
w,0,3,0.0001626735131634231
w,0,4,-0.0001572017215412702
w,0,5,0.0007341791855941109
w,0,6,-0.002743533436390372
w,0,7,0.0001997345981678695
w,0,8,0.00022403524183527843
w,0,9,0.00028327443138510903
w,0,10,0.0002578585417067754
w,0,11,0.00006593705644209697
w,0,12,-0.00003609641342328709
w,0,13,-0.00315578223518797
w,0,14,0.0001535859583565398
w,0,15,0.00018620332517872685
w,0,16,0.0002428365631221695
w,0,17,0.00023854420551148973
w,0,18,0.00008832497913118205
w,0,19,-0.00035824984960438434
w,0,20,-0.0032428019093355856
w,0,21,0.00008552499101220221
w,0,22,0.000189263805303502
w,0,23,0.000143955020353619
w,0,24,0.0000832618324946794
w,0,25,-0.00003636552605096999
w,0,26,0.0004955529633775214
w,0,27,-0.003986243294211357
w,0,28,0.00006801952181407533
w,0,29,0.00010536466522766621
w,0,30,0.0002542230800861227
w,0,31,0.00018366020098866068
w,0,32,0.00004799404106360522
w,0,33,0.000648885264333773
w,0,34,-0.0032924000495767655
w,0,35,-0.000013987578893569962
w,0,36,0.00007083666072352359
w,0,37,0.0000901999286881869
w,0,38,0.000016487771366410443
w,0,39,0.00015602300317443194
w,0,40,0.0006916844338220822
w,0,41,-0.003788785349607252
w,0,42,-0.00009547288452752293
w,0,43,-0.00006043611781391323
w,0,44,0.00003664939481107607
w,0,45,-0.000016723646060255128
w,0,46,-0.0001519437233888896
w,0,47,0.0003810445742514107
w,0,48,-0.003268634449152624
w,0,49,-0.00014287760225302156
w,0,50,-0.0001072167243810316
w,0,51,-0.000059649312678097834
w,0,52,-0.00013554987593936425
w,0,53,0.000029316530131132445
w,0,54,0.0007203219290490686
w,0,55,-0.0032752612264599717
w,0,56,-0.0001250922671271481
w,0,57,-0.00013811229668906372
w,0,58,-0.000006945421235615755
w,0,59,-0.00005149475507170137
w,0,60,0.00012620620331851273
w,0,61,0.000245653565295527
w,0,62,-0.002766456906283077
w,0,63,-0.00021601477486630035
w,0,64,-0.00017499031162971132
w,0,65,-0.00010650666512783952
w,0,66,-0.000178882677659552
w,0,67,0.00008521583744828668
w,0,68,0.0006653356088182781
w,0,69,-0.003331476903308644
w,0,70,-0.00009677762760117846
w,0,71,-0.00019905480038207593
w,0,72,-0.00000280741641970536
w,0,73,-0.000050805774500932056
w,0,74,0.000004305646479675872
w,0,75,0.0002981785764977114
w,0,76,-0.001833566313684597
w,0,77,0.000003851588083327735
w,0,78,-0.00008483452947848733
w,0,79,0.000029745775614655815
w,0,80,-0.000043230838024973876
w,0,81,-0.00008318670061492912
w,0,82,0.0006786506477648592
w,0,83,-0.0019753855853740336
w,0,84,0.00006135865741628182
w,0,85,-0.000007965080244462653
w,0,86,0.00016963873816350783
w,0,87,0.00011996272204136654
w,0,88,-0.000026337806640879782
w,0,89,0.00032896951539035716
w,0,90,-0.0021776158646631292
w,0,91,0.00006316979039306224
w,0,92,0.000013147598122620498
w,0,93,0.00003067797931524706
w,0,94,0.000027965066379640466
w,0,95,0.0001649316989680219
w,0,96,-0.000388770150554456
w,0,97,-0.0023793327600123222
w,0,98,0.00010299445970837473
w,0,99,0.000031802052186712896
w,0,100,0.00015564533359531377
w,0,101,0.00008696337464461374
w,0,102,-0.0001742796063235488
w,0,103,0.0006172783079922083
w,0,104,-0.0021579948548893263
w,0,105,0.00013395989544790472
w,0,106,0.00009365765343978847
w,0,107,0.00013850782615870095
w,0,108,0.00008336917141843875
w,0,109,-0.00004665561867178873
w,0,110,0.00041100069526666197
w,0,111,-0.0024807606038458117
w,0,112,0.0001250388812261029
w,0,113,0.00005384038614676326
w,0,114,0.0001448034072936619
w,0,115,0.00014305550326408156
w,0,116,-0.00004271241900769319
w,0,117,-0.00039992048749435007
w,0,118,-0.0021578827882842645
w,0,119,0.00018323166682447526
w,0,120,0.00011179903102401432
w,0,121,0.00016192455041629433
w,0,122,0.00015838623593135277
