Timestamp,Symbol,Open,High,Low,Close,Volume
2026-03-09 13:30:00,MSFT,404.91501,408,404.22198,407.85999,1570127
2026-03-09 13:31:00,MSFT,407.88000,408.5,407.37000,407.72000,179727
2026-03-09 13:32:00,MSFT,407.70001,408.5,407.35999,407.63000,103165
2026-03-09 13:33:00,MSFT,407.69000,408.32999,406.88000,407.41501,89150
2026-03-09 13:34:00,MSFT,407.41000,408,407.10999,407.44180,58938
2026-03-09 13:35:00,MSFT,407.48999,407.62000,406.54001,407.035004,91827
2026-03-09 13:36:00,MSFT,407.054993,407.054993,405.56000,405.56000,85462
2026-03-09 13:37:00,MSFT,405.57001,405.64999,404.87000,405,129783
2026-03-09 13:38:00,MSFT,405.099915,405.54001,404.92001,404.98999,128150
2026-03-09 13:39:00,MSFT,405.089996,405.39999,404.70001,404.89001,111236
2026-03-09 13:40:00,MSFT,404.89001,404.92542,404.10999,404.28000,177902
2026-03-09 13:41:00,MSFT,404.28000,404.79999,403.62000,404.41000,147709
2026-03-09 13:42:00,MSFT,404.46051,404.95999,404.19000,404.42001,134273
2026-03-09 13:43:00,MSFT,404.47000,405.23499,404.35999,404.96991,114157
2026-03-09 13:44:00,MSFT,404.88501,405.079987,404.14999,404.69000,118416
2026-03-09 13:45:00,MSFT,404.67999,405.14999,403.5,403.57999,115192
2026-03-09 13:46:00,MSFT,403.62000,404.82001,403.62000,404.38000,93194
2026-03-09 13:47:00,MSFT,404.44000,404.64999,403.66000,404.5,115548
2026-03-09 13:48:00,MSFT,404.57999,404.95999,404.43011,404.48001,76065
2026-03-09 13:49:00,MSFT,404.48001,404.80249,403.60999,403.70001,85534
2026-03-09 13:50:00,MSFT,403.82999,404.34000,403.76999,403.89001,103573
2026-03-09 13:51:00,MSFT,403.93500,404.66000,403.91000,404.53989,78146
2026-03-09 13:52:00,MSFT,404.51999,405.13000,404.16000,404.86499,68042
2026-03-09 13:53:00,MSFT,404.86499,404.98251,403.89999,403.92999,59798
2026-03-09 13:54:00,MSFT,404,404.85001,404,404.67001,48115
2026-03-09 13:55:00,MSFT,404.64001,405.39001,404.47000,405.39001,52694
2026-03-09 13:56:00,MSFT,405.42001,405.92001,404.89999,405.48999,69633
2026-03-09 13:57:00,MSFT,405.39511,405.53000,404.69000,405.26999,83603
2026-03-09 13:58:00,MSFT,405.25,406.010010,405.17999,405.58499,102562
2026-03-09 13:59:00,MSFT,405.58499,405.97000,405.34000,405.53000,139935
2026-03-09 14:00:00,MSFT,405.45001,405.57999,405.070007,405.15500,80677
