Timestamp,Symbol,Open,High,Low,Close,Volume
2026-03-09 13:30:00,TSLA,390.049988,392.20001,389.50201,392.095001,2151414
2026-03-09 13:31:00,TSLA,392.019989,392.70001,391.53000,391.81000,271094
2026-03-09 13:32:00,TSLA,391.85999,392.69989,391.85001,392.19000,198922
2026-03-09 13:33:00,TSLA,392.35001,392.67999,391.89999,392.36499,184506
2026-03-09 13:34:00,TSLA,392.32999,392.98999,392.14011,392.39001,288904
2026-03-09 13:35:00,TSLA,392.35999,392.85001,391.66000,391.91000,276730
2026-03-09 13:36:00,TSLA,391.93500,391.93500,388.72000,388.82611,477788
2026-03-09 13:37:00,TSLA,388.78500,389.23990,387.48001,387.95999,409143
2026-03-09 13:38:00,TSLA,387.97501,388.19000,387.5,388.17499,259109
2026-03-09 13:39:00,TSLA,388.14001,388.29999,387.34009,387.40109,278149
2026-03-09 13:40:00,TSLA,387.39999,387.95999,387,387.51001,341391
2026-03-09 13:41:00,TSLA,387.50931,387.69989,386.62000,387.088593,306670
2026-03-09 13:42:00,TSLA,387.050110,387.26999,386.42999,386.92499,320091
2026-03-09 13:43:00,TSLA,386.94000,387.75,386.75,387.41000,239993
2026-03-09 13:44:00,TSLA,387.39499,387.47000,386.42001,387.13120,242592
2026-03-09 13:45:00,TSLA,387.17001,387.17001,385.89999,385.94501,318153
2026-03-09 13:46:00,TSLA,385.95999,387.10001,385.95999,386.39001,300782
2026-03-09 13:47:00,TSLA,386.44000,386.61499,385.85999,386.32751,281291
2026-03-09 13:48:00,TSLA,386.33499,386.66000,386.049988,386.39001,236584
2026-03-09 13:49:00,TSLA,386.45001,386.79999,384.79999,385.13000,633094
2026-03-09 13:50:00,TSLA,385.085114,385.57999,384.87000,385.17999,345754
2026-03-09 13:51:00,TSLA,385.16000,385.42001,384.69000,384.78000,294847
2026-03-09 13:52:00,TSLA,384.75,385.35999,384.45001,384.97141,319400
2026-03-09 13:53:00,TSLA,384.97339,385.29999,384.42001,384.48999,211991
2026-03-09 13:54:00,TSLA,384.47000,384.79001,384.040009,384.34000,247797
2026-03-09 13:55:00,TSLA,384.37000,384.37000,383.47009,384.054993,464090
2026-03-09 13:56:00,TSLA,384.057404,384.48999,383.39999,383.72501,329726
2026-03-09 13:57:00,TSLA,383.72501,384.5,383.040100,384.44510,304076
2026-03-09 13:58:00,TSLA,384.44650,384.84000,384.070007,384.55499,252063
2026-03-09 13:59:00,TSLA,384.54501,385.019989,384.42010,384.56009,411569
2026-03-09 14:00:00,TSLA,384.54999,384.71991,384,384.40659,218251
2026-03-09 14:01:00,TSLA,384.375,384.56000,383.89999,384.45999,185648
2026-03-09 14:02:00,TSLA,384.5,385.37000,384.47000,385.19000,275958
2026-03-09 14:03:00,TSLA,385.19440,385.79001,384.89951,385.51010,335787
2026-03-09 14:04:00,TSLA,385.53500,385.92999,385.090088,385.92001,218511
2026-03-09 14:05:00,TSLA,385.89999,386.16989,384.60010,384.63000,353233
2026-03-09 14:06:00,TSLA,384.64001,384.72000,383.42999,383.60001,348128
2026-03-09 14:07:00,TSLA,383.62869,383.66000,382.64999,383.25,456557
2026-03-09 14:08:00,TSLA,383.25,383.44000,382.53000,383.0050049,240413
2026-03-09 14:09:00,TSLA,382.94269,383.58890,382.82999,383.29501,179783
2026-03-09 14:10:00,TSLA,383.29001,383.37991,382.25,382.29001,276525
2026-03-09 14:11:00,TSLA,382.26999,382.32001,381.39999,381.42499,380354
2026-03-09 14:12:00,TSLA,381.39999,382.084900,381.39999,381.82001,240633
2026-03-09 14:13:00,TSLA,381.81000,382.39999,381.79001,382.20001,254426
2026-03-09 14:14:00,TSLA,382.20001,383.32999,382.20001,383.26001,289976
