Timestamp,Symbol,Open,High,Low,Close,Volume
2026-03-09 13:30:00,NVDA,176.83000,177.56000,176.5,176.99500,7178519
2026-03-09 13:31:00,NVDA,177.0090027,178.020004,176.86830,177.37100,1508091
2026-03-09 13:32:00,NVDA,177.42999,178.15829,177.39011,178.059998,803826
2026-03-09 13:33:00,NVDA,178.067505,178.12000,177.70000,178,794133
2026-03-09 13:34:00,NVDA,177.99001,178.080002,177.33121,177.52000,671919
2026-03-09 13:35:00,NVDA,177.53000,177.82001,177.20000,177.35001,768860
2026-03-09 13:36:00,NVDA,177.37000,177.39000,176.92000,176.92999,582651
2026-03-09 13:37:00,NVDA,176.93010,177.13989,176.34010,176.41000,757347
2026-03-09 13:38:00,NVDA,176.41010,176.56000,176.22501,176.48019,657294
2026-03-09 13:39:00,NVDA,176.46001,176.69000,176.15401,176.25,696554
2026-03-09 13:40:00,NVDA,176.25,176.64000,176.080002,176.52760,732224
2026-03-09 13:41:00,NVDA,176.55000,176.71001,176.12000,176.33690,834082
2026-03-09 13:42:00,NVDA,176.31000,176.35001,175.78000,175.82500,912292
2026-03-09 13:43:00,NVDA,175.83000,176.14999,175.62000,176.059998,909108
2026-03-09 13:44:00,NVDA,176.059998,176.14999,175.70000,176.12000,662107
2026-03-09 13:45:00,NVDA,176.125,176.25,175.56000,175.72000,618802
2026-03-09 13:46:00,NVDA,175.73000,176.47000,175.72270,176.19830,709342
2026-03-09 13:47:00,NVDA,176.21001,176.53000,176.020004,176.45000,549159
2026-03-09 13:48:00,NVDA,176.42999,176.46989,176.14000,176.375,420952
2026-03-09 13:49:00,NVDA,176.375,176.53000,176.080002,176.11501,447467
2026-03-09 13:50:00,NVDA,176.11000,176.47000,176.0099945,176.19000,480746
2026-03-09 13:51:00,NVDA,176.21001,176.38000,176,176.25,483399
2026-03-09 13:52:00,NVDA,176.21001,176.64999,176.15179,176.47000,489366
2026-03-09 13:53:00,NVDA,176.48000,176.71001,176.27000,176.29500,485228
2026-03-09 13:54:00,NVDA,176.28999,176.44501,176.24001,176.36000,381334
2026-03-09 13:55:00,NVDA,176.36000,177.10001,176,177.10001,1038625
2026-03-09 13:56:00,NVDA,177.11990,177.37000,176.92000,177.020096,700540
2026-03-09 13:57:00,NVDA,177.020004,177.22000,176.72000,177.080002,899116
2026-03-09 13:58:00,NVDA,177.070007,177.30000,176.89999,177.054993,480671
2026-03-09 13:59:00,NVDA,177.059998,177.25,176.80499,176.93500,435331
2026-03-09 14:00:00,NVDA,176.92999,177.31500,176.875,177.089996,473874
2026-03-09 14:01:00,NVDA,177.095001,177.17999,176.77000,177.13499,568268
2026-03-09 14:02:00,NVDA,177.14999,177.75999,177.14999,177.48000,997323
2026-03-09 14:03:00,NVDA,177.48500,177.69000,177.30991,177.65010,611598
2026-03-09 14:04:00,NVDA,177.70000,178.0099945,177.67870,177.84500,809273
2026-03-09 14:05:00,NVDA,177.84810,177.87000,177.13000,177.14999,787890
2026-03-09 14:06:00,NVDA,177.16000,177.40649,177.0099945,177.29510,497620
2026-03-09 14:07:00,NVDA,177.31000,177.31000,176.89079,177.10001,410638
2026-03-09 14:08:00,NVDA,177.10550,177.13989,176.81000,176.86011,353678
