accuracy_pct,100
avg_dollar_error,0.0000000000000056843418860808026
bias,0,-0.00044269632736477474
bias,1,-0.00047928891198333767
bias,2,-0.0005430225072967912
bias,3,-0.0004638818999945053
bias,4,-0.00026517785217943906
bias,5,0.000015682550363024367
bias,6,-0.0000004982782985689738
bias,7,0.00016251725978704365
bias,8,0.00014914007018507384
bias,9,0.00018463062113613395
w,0,0,0.001179317268448851
w,0,1,0.0011180581787948347
w,0,2,0.001090903667480282
w,0,3,0.0012074657973102974
w,0,4,0.001855031704526217
w,0,5,0.0002084654220450683
w,0,6,0.0004861750231760678
w,0,7,0.0012573172497273917
w,0,8,0.0011727402521389087
w,0,9,0.0011437561292660153
w,0,10,0.001347267072904513
w,0,11,-0.0007871605960642783
w,0,12,-0.0008962045518599834
w,0,13,0.000748663995803995
w,0,14,0.0013794116859420062
w,0,15,0.001280395160606276
w,0,16,0.0012985320252748758
w,0,17,0.0014317679663033399
w,0,18,-0.0004205527414213355
w,0,19,0.0002592536802120077
w,0,20,0.0017788158422162564
w,0,21,0.001563737154466327
w,0,22,0.0013993495043316034
w,0,23,0.0014835471067405001
w,0,24,0.0015787869889572466
w,0,25,-0.0002647036816385627
w,0,26,-0.00018104609437461882
w,0,27,0.00153488780758076
w,0,28,0.0016552829810234711
w,0,29,0.0015650991071031943
w,0,30,0.0015381613766579962
w,0,31,0.001775349536488105
w,0,32,0.00007368786652158954
w,0,33,-0.0018201649669619946
w,0,34,0.0023121055095531506
w,0,35,0.0017086535788989527
w,0,36,0.0016691140430442047
w,0,37,0.0016043272002119007
w,0,38,0.0018302718702528592
w,0,39,-0.0009651747137555855
w,0,40,-0.0008906551940677764
w,0,41,0.0007562980234109313
w,0,42,0.0016221527235233595
w,0,43,0.0017408293237093694
w,0,44,0.0015820426057717631
w,0,45,0.0017994173305639536
w,0,46,0.0030122819774147194
w,0,47,-0.00032542997123993
w,0,48,-0.002202789542755556
w,0,49,0.001747928224962354
w,0,50,0.0015877190967843533
w,0,51,0.0016459698786855926
w,0,52,0.0017133242806698487
w,0,53,-0.0008428154931427556
w,0,54,0.0004214888385947887
w,0,55,0.0008407127470309052
w,0,56,0.0018168724000004923
w,0,57,0.0017490534005389644
w,0,58,0.0016603534509644841
w,0,59,0.0019271567845606866
w,0,60,-0.00029739638122534443
w,0,61,-0.0017576856212101826
w,0,62,0.0008142032350642758
w,0,63,0.0017068891074999482
w,0,64,0.0018068910904639006
w,0,65,0.0017079027714556152
w,0,66,0.0018764769187114283
w,0,67,-0.001091424409834291
w,0,68,-0.0007504621064110343
w,0,69,-0.001974283413292528
w,0,70,0.0018611719675528256
w,0,71,0.0017496015265930527
w,0,72,0.0017705308638885566
w,0,73,0.001898614048050864
w,0,74,-0.002257249666888092
w,0,75,-0.0005902317978067353
w,0,76,0.0003382248864788744
w,0,77,0.0017785525182543959
w,0,78,0.0018901200360397774
w,0,79,0.001826841048951802
w,0,80,0.0019417704444667455
w,0,81,0.001566671946116712
w,0,82,0.000042923427280348305
w,0,83,-0.0012237516523217937
w,0,84,0.0017089641783911594
w,0,85,0.0017458147935935516
w,0,86,0.0017126745573428318
w,0,87,0.0018592298618796202
w,0,88,-0.0016486488540399906
w,0,89,-0.00020818726647313504
w,0,90,-0.001513249801859737
w,0,91,0.0018994458599254837
w,0,92,0.0016864417721981077
w,0,93,0.0017950870498741455
w,0,94,0.0018309408757369676
w,0,95,-0.0018890236560014444
w,0,96,0.0008309242435791221
w,0,97,0.0023590119952910976
w,0,98,0.001739697729446953
w,0,99,0.00189798887638017
w,0,100,0.0018633355411710802
w,0,101,0.0018913127706718404
w,0,102,-0.00010671524007777127
w,0,103,0.0006256793279689057
w,0,104,-0.0009734350901104234
w,0,105,0.001641345280504694
w,0,106,0.0017223325792304275
w,0,107,0.0016480180144327233
w,0,108,0.0017700266849616745
w,0,109,-0.0012868428321458356
w,0,110,-0.0000344583162236503
w,0,111,0.00010938322024119382
w,0,112,0.0015679028442260362
w,0,113,0.0016690607551056325
w,0,114,0.0015767710732282148
w,0,115,0.0017961464334560202
w,0,116,-0.00017860233591299082
w,0,117,-0.0008380750725287594
w,0,118,-0.0012534649950631924
w,0,119,0.0015653992107411059
w,0,120,0.0015806967392467614
w,0,121,0.001476316765038494
w,0,122,0.0016848910808189566
w,0,123,0.00028573478468182093
w,0,124,-0.0008555677346406508
w,0,125,0.0003620637369558284
w,0,126,0.0016202951842757538
w,0,127,0.0015952590271426732
w,0,128,0.0015647008880469255
w,0,129,0.0017854141855089246
w,0,130,0.0018786961763743028
w,0,131,-0.0007454708629040376
w,0,132,0.0005103819788702875
w,0,133,0.0015464060056245314
w,0,134,0.0016313602026806874
w,0,135,0.0015222943431497291
w,0,136,0.0016597065342129184
w,0,137,-0.0004962978973217426
w,0,138,-0.0003361622185195844
w,0,139,-0.0004898022025498402
w,0,140,0.0016420444659113631
w,0,141,0.001563592641538967
w,0,142,0.001612630033847667
w,0,143,0.001655986570110663
w,0,144,-0.0000304176818352099
w,0,145,0.0002947474760862651
w,0,146,-0.0005283941524613523
w,0,147,0.0016781804267991974
w,0,148,0.0016204694611998477
w,0,149,0.0016495229796871242
w,0,150,0.0017569925011826479
w,0,151,0.001533670690708179
w,0,152,0.00023798874637929554
w,0,153,-0.00016192548503695008
w,0,154,0.0016647920174336435
w,0,155,0.001728271435191835
w,0,156,0.0016498786023024456
w,0,157,0.0018164172399553287
w,0,158,0.0002722587766861586
w,0,159,-0.000029515390847594257
w,0,160,-0.0004549691077992089
w,0,161,0.0015795221661449924
w,0,162,0.0016414923817980862
w,0,163,0.0016139396918581593
w,0,164,0.0017363452920916198
w,0,165,0.0005594272536518935
w,0,166,0.0005946393798740583
w,0,167,-0.00036498340659122145
w,0,168,0.001528758571774357
w,0,169,0.0015569045136208243
w,0,170,0.001574421584254147
w,0,171,0.0016703209731230347
w,0,172,-0.00014993363761794612
w,0,173,0.0003885186019293966
w,0,174,0.0005406865669869158
w,0,175,0.0016296435917938956
w,0,176,0.0015410533743415032
w,0,177,0.0015097711153366988
w,0,178,0.0016806800252042089
w,0,179,0.0030578210292539713
w,0,180,-0.000508767188452286
w,0,181,0.0005796232368241658
w,0,182,0.0016377551261519705
w,0,183,0.0016604188989813341
w,0,184,0.0015907109949221754
w,0,185,0.0017889148746272972
w,0,186,-0.0029922751616060714
w,0,187,-0.000613745079665335
w,0,188,-0.0009858230826018904
w,0,189,0.0019161356011316672
w,0,190,0.0016189690084358816
w,0,191,0.0017461507349528893
w,0,192,0.0018635526474723495
w,0,193,-0.0006043770296054253
w,0,194,0.00040700420483709226
w,0,195,0.0037660776334280596
w,0,196,0.00195778364637463
w,0,197,0.00193889698037526
w,0,198,0.0018947957038789342
w,0,199,0.00206830268561246
w,0,200,-0.001851457389945649
w,0,201,-0.0004873492394965296
w,0,202,0.001149649701072076
w,0,203,0.0017028016769471278
w,0,204,0.001957130283685525
w,0,205,0.0017878499664048693
w,0,206,0.0020143667656106435
w,0,207,0.00012039059832558461
w,0,208,-0.001309648000939318
w,0,209,-0.003870827992503935
w,0,210,0.001624169346566987
w,0,211,0.0017130297067186264
w,0,212,0.0016119826490060432
w,0,213,0.0018107888603015958
w,0,214,0.0020567202648936436
w,0,215,-0.0006914523814646244
w,0,216,-0.001120141961997857
w,0,217,0.0016117607915507102
w,0,218,0.0016171852042324633
w,0,219,0.0015830674824767964
w,0,220,0.001710750169733519
w,0,221,-0.0013344759254177209
w,0,222,-0.000053782606579298544
w,0,223,0.00012070586516510934
w,0,224,0.0017207000252693614
w,0,225,0.0016375373041383754
w,0,226,0.0016646362740681182
w,0,227,0.0017744265761815636
w,0,228,0.00011202961650067165
w,0,229,-0.0004016830010562557
w,0,230,0.0002975487954485304
w,0,231,0.0017537261153140052
w,0,232,0.0017192683163261078
w,0,233,0.0016810506151649543
w,0,234,0.0018994817474309756
w,0,235,0.001873415409084994
w,0,236,-0.0009467316167493139
w,0,237,0.0009003304685850921
w,0,238,0.0015382108760333957
w,0,239,0.001752081329574903
w,0,240,0.0015483349317274512
w,0,241,0.001759178899483112
w,0,242,-0.0009316659244643879
w,0,243,-0.0011251296048823485
w,0,244,-0.0022422668697854825
w,0,245,0.0016392338304202887
w,0,246,0.0015769370574888718
w,0,247,0.0015418447355296635
w,0,248,0.001720063916205155
w,0,249,-0.00012527685911691827
w,0,250,-0.0009436005954548796
w,0,251,0.0005725111509847092
w,0,252,0.0016088429258404456
w,0,253,0.0016910085924808367
w,0,254,0.001604984328216656
w,0,255,0.0018077750538932143
w,0,256,0.0005807015125410619
w,0,257,-0.0012762944365700224
w,0,258,-0.0008753201790064571
w,0,259,0.0015793341410043516
w,0,260,0.0016065613395380741
w,0,261,0.0016685835876432754
w,0,262,0.0015753580359551607
w,0,263,-0.0005943377485386029
w,0,264,0.002230627422924129
w,0,265,0.0007449521587687113
w,0,266,0.0016647549171502519
w,0,267,0.001598593384340457
w,0,268,0.00159977469867462
w,0,269,0.0017033012377392982
w,0,270,-0.00016231018301869846
w,0,271,0.00041905447806205346
w,0,272,0.0008341136996049567
w,0,273,0.0016681759195336363
w,0,274,0.0016917744389841301
w,0,275,0.0016127243935398154
w,0,276,0.0017810098303873518
w,0,277,0.0013343922978114886
w,0,278,-0.0007065891112176098
w,0,279,-0.002178519235164547
w,0,280,0.001923626762513058
w,0,281,0.001684988111429187
w,0,282,0.0018233800276374937
w,0,283,0.0018796706799882165
w,0,284,0.00007597984732842376
w,0,285,0.0011891605471561898
w,0,286,0.0030383513436094377
w,0,287,0.0019924510237135243
w,0,288,0.001959567301060054
w,0,289,0.0018747521166345143
w,0,290,0.0020888661745672226
w,0,291,-0.0033535240346297254
w,0,292,-0.001233178112851524
w,0,293,-0.00042102695374610815
w,0,294,0.001964565420160913
w,0,295,0.0019708929457404696
w,0,296,0.0018570581179258026
w,0,297,0.0021598517859643934
w,0,298,0.0001239826938198274
w,0,299,-0.0023802011430978996
w,0,300,-0.000028434801739785078
w,0,301,0.0019223574172187823
w,0,302,0.0019877001658538344
w,0,303,0.0019177720342454054
w,0,304,0.002085508471400233
w,0,305,-0.0013454581635799262
w,0,306,-0.0002984667768114779
w,0,307,-0.0009226592505453953
w,0,308,0.001981684459435571
w,0,309,0.001953249462533281
w,0,310,0.0019042470602715683
w,0,311,0.0021014196276690116
w,0,312,-0.00099313122390016
w,0,313,-0.0005972612148267091
w,0,314,0.00028320192566676754
w,0,315,0.001939886103677033
w,0,316,0.001973362742838589
w,0,317,0.001963783175685694
w,0,318,0.0020306289053191907
w,0,319,0.0014441976791782865
w,0,320,0.0000658299983586209
w,0,321,0.0009638254439614127
w,0,322,0.0018870103077255657
w,0,323,0.0019389255278493172
w,0,324,0.0018554359017410723
w,0,325,0.002029826402886343
w,0,326,0.0011730229668363045
w,0,327,-0.0004353690698826522
w,0,328,-0.00021043894405217258
w,0,329,0.0018287014206928539
w,0,330,0.001865691682964464
w,0,331,0.0018014467465793911
w,0,332,0.0020338679014349644
w,0,333,-0.0004236689001019427
w,0,334,-0.0009093117550942472
w,0,335,-0.0003496914477598882
w,0,336,0.0020280230113872595
w,0,337,0.001841398848422023
w,0,338,0.001902955475958725
w,0,339,0.0019666335383419485
w,0,340,0.0005828659495367487
w,0,341,0.0007718382143664705
w,0,342,0.0022832870303053526
w,0,343,0.0020614440593485655
w,0,344,0.0019991412618113485
w,0,345,0.0020195243276320833
w,0,346,0.0020994738741503807
w,0,347,-0.0013874354922230325
w,0,348,0.00032390180381489407
w,0,349,0.0023177043127058654
w,0,350,0.0019020881464476616
w,0,351,0.002074637834746348
w,0,352,0.0019669114081781267
w,0,353,0.0020535796614016086
w,0,354,0.0004201137694346918
w,0,355,0.00021275404287881118
w,0,356,-0.0013792393031450973
w,0,357,0.0016206318884903783
w,0,358,0.001865331365319991
w,0,359,0.0017301933007634663
w,0,360,0.0017648321539764594
w,0,361,-0.0012154494800774406
w,0,362,0.0007386996144115999
w,0,363,-0.0026006486892379216
w,0,364,0.0017771317062451751
w,0,365,0.0016600916738647295
w,0,366,0.0015832799695838019
w,0,367,0.0017773232991769939
w,0,368,-0.0016691105400203484
w,0,369,-0.0009159179608253357
w,0,370,0.0019210952680657094
w,0,371,0.001784705760274743
w,0,372,0.0017892554484944684
w,0,373,0.0017215882827432676
w,0,374,0.0018314296817258024
w,0,375,-0.0022768505671702205
w,0,376,0.00010591537450150695
w,0,377,-0.00006847541525086336
w,0,378,0.001666604219516069
